Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AGNC,AGNC Investment Corp.,18.95,9054916343,n/a,2008,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agnc
AGNCB,AGNC Investment Corp.,25.94,8986915153,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncb
AGNCN,AGNC Investment Corp.,26.35,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/agncn
AGFS,"AgroFresh Solutions, Inc.",6.2,313019164.4,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfs
AGFSW,"AgroFresh Solutions, Inc.",0.1898,0,n/a,2014,Finance,Business Services,https://www.nasdaq.com/symbol/agfsw
ALRN,"Aileron Therapeutics, Inc.",3,44212206,n/a,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/alrn
AIMT,"Aimmune Therapeutics, Inc.",29.2,1707541248,n/a,2015,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aimt
AIRT,"Air T, Inc.",34.245,69983321.72,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/airt
ATSG,"Air Transport Services Group, Inc",22.09,1305085749,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/atsg
AIRG,"Airgain, Inc.",12.66,125234340.5,n/a,2016,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/airg
AMCN,AirMedia Group Inc,0.435,19652320.82,45177749,2007,Technology,Advertising,https://www.nasdaq.com/symbol/amcn
AKAM,"Akamai Technologies, Inc.",76.16,12909472468,n/a,1999,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/akam
AKTX,Akari Therapeutics Plc,2.175,33078219.98,15208377,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aktx
AKCA,"Akcea Therapeutics, Inc.",24.38,2089813909,n/a,2017,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akca
